35639, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	693, 545, 495, 485, 471, 193, 	6.812, -79.500, -89.250, 158.500, 88.250, 178.750, 	0
35659, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	693, 545, 495, 484, 471, 193, 	6.812, -79.500, -89.375, 158.438, 88.250, 178.750, 	0
35679, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	695, 547, 497, 487, 473, 194, 	6.750, -79.500, -89.312, 158.375, 88.250, 178.750, 	0
35699, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	694, 546, 496, 486, 473, 194, 	6.625, -79.500, -89.188, 158.312, 88.250, 178.750, 	0
35719, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	693, 544, 495, 485, 472, 194, 	6.500, -79.438, -89.125, 158.188, 88.250, 178.750, 	0
35739, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	694, 545, 495, 485, 472, 194, 	6.500, -79.500, -89.125, 158.188, 88.250, 178.750, 	0
35759, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	694, 545, 496, 486, 473, 194, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
35779, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	694, 545, 496, 485, 473, 195, 	6.500, -79.500, -89.125, 158.188, 88.250, 178.750, 	0
35799, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	696, 547, 497, 486, 473, 194, 	6.500, -79.500, -89.062, 158.188, 88.250, 178.750, 	0
35819, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	694, 545, 496, 485, 472, 194, 	6.562, -79.500, -89.062, 158.188, 88.250, 178.750, 	0
35840, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	693, 545, 495, 485, 472, 193, 	6.500, -79.500, -89.125, 158.188, 88.250, 178.750, 	0
35859, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	693, 545, 496, 485, 472, 194, 	6.500, -79.500, -89.125, 158.188, 88.250, 178.750, 	0
35879, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	695, 546, 497, 486, 473, 194, 	6.562, -79.500, -89.125, 158.188, 88.250, 178.750, 	0
35899, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	696, 547, 497, 487, 473, 194, 	6.500, -79.500, -89.062, 158.188, 88.250, 178.750, 	0
35919, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	692, 544, 495, 485, 472, 194, 	6.500, -79.500, -89.125, 158.188, 88.250, 178.750, 	0
35939, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	692, 544, 495, 485, 472, 193, 	6.500, -79.500, -89.125, 158.188, 88.250, 178.750, 	0
35959, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	693, 545, 495, 485, 472, 193, 	6.500, -79.500, -89.125, 158.188, 88.250, 178.750, 	0
35979, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	696, 546, 496, 486, 473, 194, 	6.562, -79.500, -89.125, 158.188, 88.250, 178.750, 	0
35999, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	696, 547, 498, 488, 474, 194, 	6.562, -79.500, -89.125, 158.188, 88.250, 178.750, 	0
36019, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	692, 544, 495, 485, 472, 194, 	6.562, -79.500, -89.125, 158.188, 88.250, 178.750, 	0
36039, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	692, 544, 495, 486, 473, 194, 	6.562, -79.500, -89.125, 158.188, 88.250, 178.750, 	0
36059, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	693, 545, 496, 485, 472, 194, 	6.562, -79.500, -89.125, 158.188, 88.250, 178.750, 	0
36079, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	695, 548, 498, 488, 474, 195, 	6.562, -79.500, -89.125, 158.188, 88.250, 178.750, 	0
36099, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	696, 548, 498, 487, 474, 195, 	6.562, -79.500, -89.188, 158.250, 88.250, 178.750, 	0
36119, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	692, 544, 495, 485, 472, 194, 	6.562, -79.500, -89.188, 158.250, 88.250, 178.750, 	0
36139, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	693, 545, 495, 485, 472, 194, 	6.625, -79.500, -89.188, 158.250, 88.250, 178.750, 	0
36159, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	692, 544, 496, 484, 472, 194, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36179, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	695, 547, 498, 488, 474, 195, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36199, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	695, 546, 498, 487, 474, 195, 	6.625, -79.500, -89.188, 158.250, 88.250, 178.750, 	0
36219, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	693, 545, 496, 486, 472, 194, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36239, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	692, 544, 496, 485, 472, 194, 	6.562, -79.500, -89.188, 158.250, 88.250, 178.750, 	0
36259, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	692, 545, 496, 485, 472, 194, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36279, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	695, 547, 497, 487, 474, 195, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36299, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	696, 547, 498, 487, 474, 195, 	6.562, -79.500, -89.188, 158.250, 88.250, 178.750, 	0
36319, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	693, 545, 496, 485, 472, 194, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36339, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	694, 545, 496, 485, 473, 194, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36359, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	693, 545, 496, 485, 472, 194, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36379, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	695, 547, 497, 487, 474, 195, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36399, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	696, 548, 498, 487, 474, 196, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36419, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	693, 546, 496, 485, 472, 194, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
